gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
0,0,1,1,0.13043478260869565,0,0,1,2,2,1,2,1,1,2,0,3,-0.39199447895100065,0.08856936511062966
0,0,0,0,-0.30434782608695654,1,1,2,1,2,2,2,2,2,2,0,2,0.08465608465608455,-0.0719512106157763
0,0,0,0,-0.34782608695652173,0,0,1,1,1,2,1,2,2,0,0,2,-0.5511847250977686,-0.2357107945053582
1,0,0,1,-0.06521739130434782,1,1,1,2,1,1,2,1,1,0,1,0,0.05521048999309869,0.14811167283099527
0,0,0,0,-0.6086956521739131,1,1,1,2,2,2,2,2,2,2,0,3,-0.47757073844030373,-0.39497661932170497
0,0,1,0,0.8043478260869565,1,1,1,2,1,1,1,1,1,0,1,0,0.16563146997929606,1.1082587413097558
1,0,1,1,-0.6086956521739131,1,1,0,0,0,0,0,0,0,2,0,0,-0.9330572808833679,-0.40219873211797574
1,0,0,1,0.2391304347826087,1,2,1,2,1,2,2,2,2,2,0,0,-0.25580860363469055,0.28625099395239234
1,0,0,1,0.782608695652174,1,1,1,2,2,2,1,1,2,0,1,0,-0.1969174143087187,0.703265999897869
1,0,1,1,0.6739130434782609,1,2,1,2,2,1,1,1,1,1,0,0,0.18495514147688055,1.0064050656920462
1,1,1,1,-0.5217391304347826,1,1,1,1,1,2,1,2,2,2,0,0,-0.19507706464228206,-0.3239810620153342
1,0,0,0,-0.5217391304347826,1,1,1,1,2,2,2,2,2,2,1,2,-0.38831377961812746,-0.34011774232376946
1,0,1,1,-0.5869565217391305,1,1,1,1,2,2,2,2,2,2,0,2,-0.35978835978835977,-0.37207012014969465
0,0,0,0,0.021739130434782608,1,2,1,1,1,1,1,2,2,2,0,3,-0.05337014032666217,0.17568701259857453
0,0,0,1,0.15217391304347827,1,2,2,2,2,2,2,1,1,2,1,3,0.4582470669427192,0.6058039524653666
1,0,0,0,0.5652173913043478,1,1,2,2,2,2,2,2,2,0,1,0,-0.026685070163331086,0.7133040071783423
1,0,1,1,0.043478260869565216,1,2,2,1,2,1,2,2,2,2,1,0,0.26224982746721875,0.3546203284237556
1,1,0,0,-0.021739130434782608,0,0,1,2,2,2,2,1,2,2,1,3,-0.6367609845870715,-0.12386288198775888
0,0,1,1,-0.2826086956521739,1,1,0,0,0,0,0,0,0,0,0,0,-0.9487002530480791,-0.312615353190496
0,0,1,1,-0.5,1,1,0,0,0,0,0,0,0,2,0,1,-0.9266160570508397,-0.3698961912473829
0,1,0,1,-0.043478260869565216,1,2,2,1,2,1,2,2,2,1,1,3,0.28341384863124003,0.23985439053392565
0,0,1,1,0.6304347826086957,1,2,0,0,0,0,0,0,0,0,1,0,-0.8318380492293537,0.022242648399827807
0,0,0,0,0.9347826086956522,1,2,2,1,1,1,1,2,1,0,1,0,0.6330802852541985,1.8484304671029113
1,0,1,1,-0.021739130434782608,0,0,1,2,2,1,1,2,2,2,1,2,-0.6395215090867264,-0.12743746306874137
0,0,0,0,0.2391304347826087,1,1,2,2,2,1,2,1,2,1,1,3,0.2677708764665286,0.5712107616775728
0,0,1,1,-0.6086956521739131,1,1,0,0,0,0,0,0,0,2,0,2,-0.9201748332183115,-0.4019944703419196
1,0,1,1,-0.5217391304347826,1,1,2,2,2,2,2,2,1,2,1,3,0.1748332183114792,-0.28760787575047964
1,0,1,1,-0.6086956521739131,1,1,2,2,2,2,2,2,2,2,1,3,-0.023924545663676047,-0.3877836867791565
1,0,1,0,-0.3695652173913043,1,2,2,2,1,1,2,1,1,2,1,3,0.6404416839199447,-0.03573851574639438
0,0,1,1,-0.5217391304347826,1,1,2,2,2,2,1,1,1,2,1,3,0.4711295146077754,-0.2756731519780564
0,0,0,1,0.9130434782608695,1,1,1,1,1,1,1,1,1,0,1,1,0.2870945479641131,1.3562325374419129
0,0,1,1,-0.5652173913043478,1,2,2,2,2,2,2,2,2,2,1,3,0.11870255348516223,-0.34132872285324517
1,0,0,1,0.021739130434782608,1,1,0,0,0,0,0,0,0,2,0,1,-0.9358178053830228,-0.2165977283172477
1,0,0,1,-0.08695652173913043,1,1,0,0,0,0,0,0,0,1,1,1,-0.9256958822176213,-0.2597699136993996
0,0,0,0,0.5,1,2,0,0,0,0,0,0,0,0,0,2,-0.8456406717276284,-0.01957265518423684
1,1,1,1,0.3695652173913043,1,2,2,1,1,1,2,1,1,1,1,3,0.7269381182424661,1.0145025860999861
0,0,1,1,-0.43478260869565216,1,1,2,2,2,2,2,2,2,2,1,3,0.0,-0.2335076853493241
1,0,0,1,-0.21739130434782608,1,2,2,2,2,2,2,1,2,2,1,3,0.30089717046238773,0.04851946687676451
1,0,1,1,-0.3695652173913043,1,1,1,2,1,2,2,2,2,2,1,3,-0.38831377961812746,-0.229495400462507
0,1,0,1,0.34782608695652173,1,2,2,2,1,1,1,1,2,1,1,1,0.5189786059351278,0.9126635006091377
1,0,0,0,0.15217391304347827,1,2,2,1,2,1,2,1,1,2,1,0,0.6257188865884519,0.6673013371851267
0,0,1,1,0.1956521739130435,1,2,2,2,1,1,2,2,1,2,1,0,0.45272601794340916,0.6691251030427708
0,0,0,0,-0.6086956521739131,1,1,0,0,0,0,0,0,0,2,0,2,-0.9440993788819876,-0.40237381364030955
0,0,0,1,-0.41304347826086957,1,2,2,2,2,1,2,1,1,2,1,3,0.5152979066022545,-0.10515833935176065
0,0,0,0,-0.34782608695652173,1,1,1,2,2,2,2,2,2,2,0,1,-0.47296986427421217,-0.24480044353985653
0,0,1,1,-0.2391304347826087,1,2,1,2,2,1,1,1,1,1,1,0,0.21164021164021166,0.007973504329620159
1,0,0,1,0.17391304347826086,0,0,1,1,2,2,1,1,2,0,0,3,-0.4619277662755924,0.056894199695066316
0,0,1,0,-0.5217391304347826,1,1,0,0,0,0,0,0,0,2,0,0,-0.9229353577179664,-0.37237651281377887
0,0,1,1,-0.391304347826087,1,1,2,2,1,2,2,2,2,2,0,3,0.08189556015642978,-0.170011453249586
0,0,1,0,0.7608695652173914,1,1,2,2,1,2,1,1,1,2,1,0,0.5272601794340926,1.3927953953559624
0,0,1,1,-0.6086956521739131,1,1,1,2,2,2,2,2,1,2,0,2,-0.2751322751322752,-0.3917667914122513
0,1,0,1,0.17391304347826086,1,2,2,2,2,2,2,1,1,2,1,3,0.40487692661605706,0.6055705104355882
1,0,0,0,0.41304347826086957,1,2,2,1,1,2,2,1,1,2,1,0,0.6395215090867264,1.0503067574172555
0,1,0,1,-0.1956521739130435,1,2,2,2,2,2,2,1,1,2,1,3,0.4426040947780078,0.14634626748079577
1,0,1,1,-0.06521739130434782,1,2,1,1,1,2,2,1,2,2,1,1,-0.01840349666436623,0.11728273477337883
1,0,1,1,0.021739130434782608,1,1,0,0,0,0,0,0,0,0,0,0,-0.9404186795491144,-0.23916865457145148
1,0,1,1,0.8695652173913043,1,2,1,1,1,2,1,2,2,0,1,2,-0.06625258799171832,0.927866412798459
0,0,0,0,0.7391304347826086,1,2,1,1,1,1,1,1,1,0,1,0,0.34782608695652184,1.2254320501316756
0,0,0,1,-0.5217391304347826,1,1,0,0,0,0,0,0,0,2,0,2,-0.9413388543823327,-0.3711947125380255
0,0,0,1,0.21739130434782608,1,1,0,0,0,0,0,0,0,0,1,1,-0.9210950080515298,-0.17745241794877403
0,0,1,0,-0.5434782608695652,1,2,2,2,1,2,2,1,1,2,1,3,0.5741890959282264,-0.30159980741032544
0,0,0,1,0.6739130434782609,1,2,2,2,2,1,2,1,1,0,0,0,0.564067172762825,1.3625062919922086
0,0,0,0,-0.21739130434782608,1,2,2,2,2,1,1,1,1,2,0,3,0.6036346905912123,0.1793345443138628
1,0,0,1,-0.391304347826087,1,2,2,2,1,2,2,1,1,2,1,3,0.5797101449275363,-0.0737603863465593
1,1,1,1,0.043478260869565216,1,2,2,2,1,2,2,1,1,2,1,3,0.5419829767655855,0.5218961328868754
0,0,1,1,0.021739130434782608,1,1,2,1,1,1,2,2,2,2,1,0,0.2539682539682539,0.3036132449171645
0,0,1,1,0.5217391304347826,1,2,0,0,0,0,0,0,0,0,0,2,-0.84472049689441,-0.034760977246697154
1,0,1,1,-0.5217391304347826,1,1,2,2,1,2,1,2,1,2,1,3,0.34690591212330335,-0.273251190919105
0,1,1,1,0.4782608695652174,1,2,2,2,1,2,2,2,2,1,1,1,0.1674718196457326,0.7518511223455087
1,0,0,1,0.9130434782608695,1,2,1,1,1,1,1,1,1,0,0,0,0.3459857372900851,1.456247857075117
1,0,1,0,0.6956521739130435,1,2,0,0,0,0,0,0,0,0,1,0,-0.8373590982286635,0.029245909293181275
0,1,1,1,-0.45652173913043476,1,1,2,2,1,2,2,2,2,2,1,3,0.07361398665746492,-0.23098359340234462
0,0,0,1,-0.41304347826086957,1,1,1,1,2,2,1,2,2,2,1,0,-0.28617437313089483,-0.241984549055654
1,0,0,1,-0.3695652173913043,0,0,1,2,2,1,2,1,1,2,1,1,-0.3800322061191626,-0.22789048650778015
0,0,0,1,0.8043478260869565,1,2,1,2,2,2,1,2,1,2,0,3,-0.1223832528180354,0.8364446778864743
0,0,1,1,-0.10869565217391304,1,1,1,1,1,2,1,2,2,2,0,1,-0.18495514147688055,0.012438083149132981
1,0,0,0,-0.5434782608695652,1,1,1,2,1,2,1,2,2,2,0,2,-0.25764895330112725,-0.3393736458538507
1,0,1,1,-0.5434782608695652,1,2,2,2,1,2,2,2,1,2,1,3,0.339544513457557,-0.30432816113336103
